6,8,5.1,200401010308
7,4,111.6,200401010308
8,10,19.5,200401010308
9,6,222.1,200401010308
10,11,209.8,200401010308
11,9,45.6,200401010308
12,1,25.1,200401010308
1,3,16.7,200401010309
2,9,28.1,200401010309
3,7,3.7,200401010309
4,6,42.9,200401010309
5,2,64.8,200401010309
6,5,1.4,200401010309
7,4,18.6,200401010309
8,1,14.0,200401010309
9,8,145.9,200401010309
10,10,30.7,200401010309
1,3,7.8,200401010310
2,10,12.0,200401010310
3,9,1.7,200401010310
4,12,10.7,200401010310
5,7,30.3,200401010310
6,4,17.6,200401010310
7,8,18.3,200401010310
8,1,420.7,200401010310
9,5,148.0,200401010310
10,2,6.8,200401010310
11,11,59.8,200401010310
12,13,39.7,200401010310
13,6,211.8,200401010310
1,3,2.1,200401010311
2,2,38.0,200401010311
3,5,9.9,200401010311
4,4,4.8,200401010311
5,11,8.7,200401010311
6,8,10.4,200401010311
7,6,82.3,200401010311
8,1,79.6,200401010311
9,7,24.9,200401010311
10,9,18.8,200401010311
11,10,7.7,200401010311
1,5,5.4,200401010312
2,3,24.8,200401010312
3,10,2.8,200401010312
4,11,14.8,200401010312
5,13,3.4,200401010312
6,1,57.0,200401010312
7,7,28.5,200401010312
8,8,7.0,200401010312
9,4,76.0,200401010312
10,9,51.3,200401010312
11,2,137.3,200401010312
12,6,65.7,200401010312
13,14,176.7,200401010312
14,12,53.5,200401010312
15,15,23.5,200401010312
1,5,1.9,200401010401
2,8,9.7,200401010401
3,9,3.0,200401010401
4,6,139.2,200401010401
5,7,24.6,200401010401
6,2,5.1,200401010401
7,4,72.0,200401010401
8,1,191.1,200401010401
中,3,30.0,200401010401
1,9,6.0,200401010402
2,8,15.8,200401010402
3,4,2.4,200401010402
4,10,105.5,200401010402
5,2,3.6,200401010402
6,3,36.1,200401010402
7,6,8.5,200401010402
8,5,10.1,200401010402
9,12,152.6,200401010402
10,11,189.7,200401010402
11,1,252.0,200401010402
12,7,13.5,200401010402
1,4,24.2,200401010403
2,9,2.4,200401010403
3,2,9.8,200401010403
4,1,91.1,200401010403
5,3,2.4,200401010403
6,10,39.9,200401010403
7,7,122.4,200401010403
8,14,24.4,200401010403
9,11,100.1,200401010403
10,5,73.8,200401010403
11,6,7.7,200401010403
12,12,131.1,200401010403
13,13,25.6,200401010403
除,8,---,200401010403
1,9,2.3,200401010404
2,8,19.6,200401010404
3,4,7.2,200401010404
4,1,2.9,200401010404
5,12,9.6,200401010404
6,6,62.8,200401010404
7,11,11.4,200401010404
8,5,108.8,200401010404
9,2,24.6,200401010404
10,7,159.0,200401010404
11,10,251.6,200401010404
12,3,80.3,200401010404
13,13,38.6,200401010404
1,12,3.4,200401010405
2,5,2.8,200401010405
3,6,10.4,200401010405
4,15,3.9,200401010405
5,11,14.4,200401010405
6,4,12.8,200401010405
7,10,46.7,200401010405
8,14,44.4,200401010405
9,9,121.9,200401010405
10,8,38.4,200401010405
11,7,272.4,200401010405
12,3,52.9,200401010405
13,13,89.6,200401010405
14,1,288.8,200401010405
15,2,215.2,200401010405
1,1,19.3,200401010406
2,3,143.0,200401010406
3,10,2.8,200401010406
4,6,42.5,200401010406
5,11,7.6,200401010406
6,5,6.6,200401010406
7,9,86.8,200401010406
8,7,20.8,200401010406
9,2,38.7,200401010406
10,12,57.9,200401010406
11,4,3.3,200401010406
12,8,7.4,200401010406
1,5,9.6,200401010407
2,13,2.9,200401010407
3,10,7.5,200401010407
4,4,43.2,200401010407
5,12,91.7,200401010407
6,9,2.9,200401010407
7,2,7.5,200401010407
8,8,50.7,200401010407
9,3,34.3,200401010407
10,11,18.8,200401010407
11,6,13.8,200401010407
12,7,202.8,200401010407
13,1,107.9,200401010407
1,5,4.8,200401010408
2,3,9.8,200401010408
3,6,9.1,200401010408
4,14,74.9,200401010408
5,4,6.1,200401010408
6,12,13.9,200401010408
7,8,3.5,200401010408
8,2,7.3,200401010408
9,10,12.7,200401010408
10,11,20.2,200401010408
11,7,41.4,200401010408
12,1,269.4,200401010408
13,9,139.8,200401010408
14,13,100.4,200401010408
1,6,2.2,200401010409
2,3,3.3,200401010409
3,11,4.4,200401010409
4,1,20.7,200401010409
5,10,9.7,200401010409
6,5,126.4,200401010409
7,9,26.2,200401010409
8,2,18.7,200401010409
9,8,259.9,200401010409
10,7,320.0,200401010409
11,4,41.9,200401010409
1,9,7.1,200401010410
2,13,31.1,200401010410
3,12,1.3,200401010410
4,1,12.9,200401010410
5,6,18.6,200401010410
6,7,86.5,200401010410
7,4,38.4,200401010410
8,5,241.8,200401010410
9,8,8.7,200401010410
10,3,257.8,200401010410
11,11,22.5,200401010410
12,10,127.5,200401010410
中,2,168.5,200401010410
1,7,2.3,200401010411
2,2,4.6,200401010411
3,8,4.9,200401010411
4,5,11.3,200401010411
5,4,7.5,200401010411
6,1,26.1,200401010411
7,3,56.3,200401010411
8,10,106.5,200401010411
9,9,252.3,200401010411
10,12,33.3,200401010411
11,11,17.1,200401010411
12,13,47.2,200401010411
13,6,90.9,200401010411
1,7,23.9,200401010412
2,5,4.3,200401010412
3,3,18.8,200401010412
4,2,2.7,200401010412
5,13,121.2,200401010412
6,14,4.0,200401010412
7,9,6.6,200401010412
8,6,124.8,200401010412
9,11,12.7,200401010412
10,10,82.8,200401010412
11,12,143.5,200401010412
12,8,43.0,200401010412
13,4,237.6,200401010412
14,1,40.8,200401010412
1,7,17.0,200401010501
2,2,1.9,200401010501
3,8,4.6,200401010501
4,5,10.3,200401010501
5,6,5.7,200401010501
6,1,5.8,200401010501
7,4,88.7,200401010501
8,3,154.2,200401010501
9,10,254.8,200401010501
10,9,261.7,200401010501
1,1,2.1,200401010502
2,12,4.2,200401010502
3,9,105.1,200401010502
4,5,243.7,200401010502
5,10,4.9,200401010502
6,7,300.4,200401010502
7,4,8.1,200401010502
8,13,41.7,200401010502
9,3,219.0,200401010502
10,2,11.2,200401010502
11,11,174.8,200401010502
12,8,16.6,200401010502
13,6,109.7,200401010502
1,5,12.7,200401010503
2,11,1.4,200401010503
3,2,5.5,200401010503
4,3,25.4,200401010503
5,7,5.9,200401010503
6,1,187.9,200401010503
7,9,253.2,200401010503
8,10,11.2,200401010503
9,4,146.0,200401010503
10,6,181.9,200401010503
11,8,59.8,200401010503
1,2,1.2,200401010504
2,13,7.7,200401010504
3,1,38.4,200401010504
4,11,9.6,200401010504
5,3,181.7,200401010504
6,5,120.2,200401010504
7,8,161.2,200401010504
8,4,18.5,200401010504
9,10,34.1,200401010504
10,7,138.9,200401010504
11,12,44.0,200401010504
12,9,37.9,200401010504
13,6,312.3,200401010504
1,1,6.6,200401010505
2,5,4.4,200401010505
3,7,9.1,200401010505
4,15,63.8,200401010505
5,6,4.7,200401010505
6,8,10.3,200401010505
7,3,24.6,200401010505
8,13,23.0,200401010505
9,4,90.4,200401010505
10,12,61.7,200401010505
11,11,58.2,200401010505
12,9,25.6,200401010505
13,14,25.1,200401010505
14,10,5.3,200401010505
15,2,27.7,200401010505
16,16,38.4,200401010505
1,6,1.5,200401010506
2,7,5.7,200401010506
3,4,17.2,200401010506
4,8,10.0,200401010506
5,2,34.2,200401010506
6,5,185.4,200401010506
7,1,16.8,200401010506
8,12,55.8,200401010506
9,10,109.0,200401010506
10,3,32.8,200401010506
11,9,67.9,200401010506
12,11,8.5,200401010506
1,9,2.7,200401010507
2,12,5.0,200401010507
3,4,11.5,200401010507
4,1,11.4,200401010507
5,11,6.6,200401010507
6,8,8.7,200401010507
7,5,34.9,200401010507
8,7,63.8,200401010507
9,2,6.9,200401010507
10,3,17.4,200401010507
11,6,129.1,200401010507
12,10,87.0,200401010507
1,11,2.4,200401010508
2,13,3.2,200401010508
3,6,20.0,200401010508
4,5,11.4,200401010508
5,7,17.2,200401010508
6,9,5.0,200401010508
7,1,40.4,200401010508
8,2,49.1,200401010508
9,8,22.5,200401010508
10,4,65.3,200401010508
11,12,134.9,200401010508
12,10,109.4,200401010508
13,3,39.1,200401010508
1,3,18.1,200401010509
2,7,3.4,200401010509
3,9,5.5,200401010509
4,5,10.3,200401010509
5,2,9.8,200401010509
6,8,4.6,200401010509
7,6,44.7,200401010509
8,10,50.5,200401010509
9,4,3.8,200401010509
10,1,79.5,200401010509
